,Station,Longitude,Latitude,Ref. value,Plot Color
881,BOYSEN DAM,-108.1633,43.4053,-0.001201047,No Color
1272,BOZEMAN GALLATIN FLD,-111.1608,45.7881,-0.002253819,No Color
1308,BOZEMAN MONTANA ST U,-111.0453,45.6622,-0.000737547,No Color
1454,BRACKETTVILLE,-100.4144,29.3167,-0.000259119,No Color
810,BRADFORD 4SW RES 5,-78.7144,41.8975,-0.000657146,No Color
919,BRADFORD RGNL AP,-78.6403,41.8031,-0.001498792,No Color
1510,BRADY,-99.3492,31.1444,-0.00057639,No Color
987,BRAINERD,-94.2086,46.3433,-0.002084384,No Color
1845,BRANDENBERG,-106.2314,45.8161,-0.001859217,No Color
1300,BRASSUA DAM,-69.812,45.6603,-0.002006012,No Color
2460,BRECKENRIDGE,-98.9017,32.75,-0.001270159,No Color
1088,BREDETTE,-105.2992,48.5156,-0.001895191,No Color
349,BREMERTON,-122.6828,47.5689,-0.0012991,No Color
2453,BRENHAM,-96.3972,30.1592,-0.001058998,No Color
2204,BREVARD,-82.7358,35.2283,0.000424151,Dark Blue
1763,BREWTON 3 SSE,-87.055,31.0583,0.000584944,Dark Blue
1589,BRIDGEHAMPTON,-72.3069,40.9461,-0.001535089,No Color
1537,BRIDGEPORT,-97.7761,33.2064,-0.001152761,No Color
2668,BRIDGEPORT 5 NW,-85.8008,34.9786,-0.000854734,No Color
1004,BRIDGEPORT SIKORSKY MEM AP,-73.1289,41.1583,-0.00127799,No Color
1249,BRIDGER 2 N,-108.9092,45.3261,-0.001129448,No Color
1659,BRIDGEWATER,-97.5017,43.5525,0.000781137,Darkest Blue
1007,BRIDGTON 3 NW,-70.7467,44.07,0.000245655,No Color
489,BRIGHT ANGEL RS,-112.062,36.2147,-0.001231031,No Color
2557,BRINKLEY,-91.2153,34.8822,-0.000938636,No Color
1898,BRISTOL TRI CITY AP,-82.4044,36.4731,-0.001430984,No Color
680,BRITT,-93.8014,43.1017,-0.000437291,No Color
1126,BRITTON,-97.75,45.7908,-0.002349589,No Color
453,BROADUS,-105.4072,45.4442,-0.002210957,No Color
1187,BROCKTON,-71.005,42.0478,-0.001662273,No Color
2526,BROCKWAY 3 WSW,-105.83,47.2875,-0.001338923,No Color
1378,BRODHEAD,-89.3861,42.6181,-0.001446446,No Color
1273,BROKEN BOW 2 W,-99.675,41.4083,0.000523779,Dark Blue
531,BROOKGREEN GARDENS,-79.0975,33.5214,1.98E-05,No Color
1413,BROOKHAVEN CITY,-90.4581,31.5447,0.000331311,Dark Blue
1723,BROOKINGS 2 NE,-96.7686,44.3253,-0.001762277,No Color
2501,BROOKLET 1 W,-81.673,32.375,-0.000426446,No Color
2432,BROWNFIELD #2,-102.2681,33.1908,-0.000402573,No Color
861,BROWNSVILLE,-97.4186,25.9156,-0.000201168,No Color
2467,BROWNWOOD 2ENE,-98.9456,31.7383,-0.000550519,No Color
956,BRUNSWICK,-93.1331,39.4247,-0.000190978,No Color
948,BRUNSWICK MALCOLM MCKINNON AP,-81.3908,31.1522,-0.000698761,No Color
217,BRYCE CANYON AP,-112.1456,37.7064,-0.00064489,No Color
265,BRYCE CANYON NP HQRS,-112.1689,37.6411,-0.00125296,No Color
2143,BUCHANAN,-79.6817,37.5247,-0.000542006,No Color
1830,BUCKHANNON,-80.22,38.9803,-0.000271423,No Color
839,BUCYRUS,-83.6111,40.8128,-0.002171617,No Color
1184,BUENA VISTA 2S,-106.1275,38.8247,0.000118395,No Color
909,BUFFALO,-78.7369,42.9486,-0.002554938,No Color
2355,BUFFALO 2N,-93.1067,37.6667,0.000591507,Dark Blue
1759,BUFFALO 2NE,-93.84,45.1969,-0.002029088,No Color
464,BUFFALO BILL DAM,-109.1675,44.5075,-0.003073322,No Color
1204,BUFFUMVILLE LAKE,-71.9075,42.1164,-0.001855083,No Color
1124,BUNKIE,-92.1786,30.9594,-0.001698898,No Color
48,BURBANK VLY PUMP PLT,-118.3481,34.1867,-0.00050364,No Color
1833,BURKES GARDEN,-81.3358,37.0925,0.000412432,Dark Blue
1287,BURLEY MUNI AP,-113.7661,42.5417,-0.001944024,No Color
1993,BURLINGTON FIRE STN #5,-79.4481,36.0603,-0.00124976,No Color
823,BURLINGTON INTL AP,-73.15,44.4683,-0.002283294,No Color
1908,BURLINGTON MUNI AP,-91.1253,40.7833,-0.002508667,No Color
1484,BURNET,-98.2339,30.7586,6.96E-05,No Color
78,BURNEY,-121.6547,40.8803,0.000235223,No Color
2716,BURR OAK 1N,-98.3036,39.8775,-0.00025463,No Color
2651,BURWELL,-99.1433,41.7769,6.53E-05,No Color
402,BUSBY,-106.9597,45.5397,-0.000594114,No Color
1113,BUSHNELL 1 E,-82.0894,28.6664,0.00095214,Darkest Blue
2326,BUTLER 4W,-94.405,38.2611,-0.000735416,No Color
1115,BUTTE 5SE,-100.5847,47.7947,-0.000703413,No Color
1321,BUTTE BERT MOONEY AP,-112.5006,45.9647,-0.002672016,No Color
205,BUTTONWILLOW,-119.4731,35.4047,-0.000949709,No Color
957,BYERS 5 ENE,-104.1275,39.7403,0.000161158,No Color
898,CABINET GORGE,-116.0572,48.0864,-0.000603429,No Color
396,CACHUMA LAKE,-119.9817,34.5822,-0.000408095,No Color
560,CADILLAC,-85.3967,44.2656,-0.001224465,No Color
2669,CAIRO 1SW,-84.2175,30.8697,-0.000129266,No Color
1243,CAIRO 3N,-89.1856,37.0422,0.000556125,Dark Blue
662,CALEDONIA,-91.5028,43.6308,-0.00092746,No Color
1926,CALHOUN FALLS,-82.5883,34.0906,1.77E-06,No Color
2000,CALHOUN RSCH STN,-92.3486,32.5133,-0.000787597,No Color
903,CALICO ROCK 2 WSW,-92.1636,36.1092,-0.000479276,No Color
2350,CALIFORNIA,-92.5545,38.6278,0.001244613,Darkest Blue
224,CALLAHAN,-122.8045,41.3111,-0.000554763,No Color
2619,CAMARILLO AP,-119.0833,34.2167,-0.001462818,No Color
1080,CAMBRIDGE 5ESE,-93.1264,45.5506,-0.00194331,No Color
2223,CAMDEN 1,-92.8236,33.59,-0.001079193,No Color
1965,CAMILLA 3SE,-84.2036,31.1903,0.000110494,No Color
475,CAMP CROOK,-103.9744,45.5489,-0.000751127,No Color
2283,CAMP HILL 2NW,-85.6561,32.8236,-0.001451704,No Color
400,CAMPO,-116.4728,32.6233,-0.00042108,No Color
401,CANAL POINT USDA,-80.6256,26.8639,-0.000912536,No Color
1543,CANANDAIGUA 3 S,-77.2808,42.8453,-0.001981692,No Color
687,CANBY,-96.2697,44.7183,-0.00012659,No Color
955,CANOE BROOK,-74.3539,40.7436,-0.002354231,No Color
1731,CANON CITY,-105.2256,38.46,0.00034117,Dark Blue
697,CANTON,-96.5917,43.3056,-0.000565794,No Color
1021,CANTON 4 SE,-75.1097,44.5772,-0.002292558,No Color
