,Station,Longitude,Latitude,Ref. value,Plot Color
1926,CALHOUN FALLS,-82.5883,34.0906,-0.00593136,No Color
2000,CALHOUN RSCH STN,-92.3486,32.5133,-0.002480675,No Color
903,CALICO ROCK 2 WSW,-92.1636,36.1092,0.001218152,Dark Green
2350,CALIFORNIA,-92.5545,38.6278,0.001248208,Dark Green
224,CALLAHAN,-122.8045,41.3111,-0.000185981,No Color
2619,CAMARILLO AP,-119.0833,34.2167,-0.009226579,No Color
1080,CAMBRIDGE 5ESE,-93.1264,45.5506,-0.003781797,No Color
2223,CAMDEN 1,-92.8236,33.59,-0.003775205,No Color
1965,CAMILLA 3SE,-84.2036,31.1903,0.00205754,Darkest Green
475,CAMP CROOK,-103.9744,45.5489,-0.004902442,No Color
2283,CAMP HILL 2NW,-85.6561,32.8236,-0.004234329,No Color
400,CAMPO,-116.4728,32.6233,-0.006236728,No Color
401,CANAL POINT USDA,-80.6256,26.8639,-0.006279164,No Color
1543,CANANDAIGUA 3 S,-77.2808,42.8453,-0.006489997,No Color
687,CANBY,-96.2697,44.7183,-0.002103677,No Color
955,CANOE BROOK,-74.3539,40.7436,-0.010444342,No Color
1731,CANON CITY,-105.2256,38.46,0.000318342,No Color
697,CANTON,-96.5917,43.3056,-0.002615125,No Color
1021,CANTON 4 SE,-75.1097,44.5772,-0.007032942,No Color
1992,CANTON 4N,-90.0361,32.6714,-0.00282464,No Color
1664,CANTON L&D 20,-91.5158,40.1433,0.001964837,Darkest Green
303,CAPE HATTERAS AP,-75.6219,35.2325,-0.009035718,No Color
2218,CAPE MAY 2 NW,-74.9358,38.9536,-0.008397763,No Color
2260,CARBONDALE SEWAGE PLT,-89.1658,37.7308,-0.002393716,No Color
1028,CARIBOU MUNI AP,-68.0172,46.8706,-0.0050655,No Color
2472,CARLINVILLE,-89.8703,39.2883,-0.001495456,No Color
2084,CARLSBAD,-104.2225,32.3478,-0.002582793,No Color
1102,CARLSBAD CAVERN CITY AP,-104.2581,32.3336,-0.004877767,No Color
2390,CARLSBAD CAVERNS,-104.4433,32.1783,-0.006134952,No Color
423,CARMEL VALLEY,-121.7244,36.4806,-0.003384018,No Color
907,CARO WWTP,-83.3919,43.4839,-0.002387995,No Color
1051,CARRIZO SPRINGS 3S,-99.8733,28.4894,0.00087709,Dark Green
638,CARROLL,-94.85,42.065,-0.002466629,No Color
1370,CARROLLTON,-93.4886,39.3594,-0.002021285,No Color
106,CARSON CITY,-119.7678,39.1253,-0.005613492,No Color
1875,CARTERSVILLE,-84.7925,34.2042,-0.007103906,No Color
2351,CARTHAGE,-94.3397,32.1614,-0.005211005,No Color
1059,CARVILLE 2 SW,-91.1256,30.1981,-0.007202994,No Color
46,CASA GRANDE NM,-111.5367,32.9947,-0.007816747,No Color
846,CASCADE 1 NW,-116.0481,44.5228,-0.000184059,No Color
831,CASCADE 20 SSE,NA,NA,-0.004194928,No Color
1980,CASCADE 5 S,-111.71,47.2194,-0.00284562,No Color
1274,CASPER NATRONA CO AP,-106.4636,42.8975,-0.004041345,No Color
