,Station,Longitude,Latitude,Ref. value,Plot Color
2580,ANADARKO 3 E,-98.1989,35.0619,-0.002133797,No Color
2353,ANAHUAC,-94.6342,29.7878,0.001066222,No Color
185,ANCHORAGE INTL AP,-150.0278,61.1689,0.004739247,Light Yellow
2707,ANCHORAGE MERRILL FLD,-149.855,61.2169,0.002929795,No Color
991,ANDALUSIA 3 W,-86.5225,31.3072,0.006529755,Yellow
533,ANDERSON CO AP,-82.7097,34.4978,0.002455189,No Color
117,ANDERSON DAM,-115.4522,43.3572,-0.002226888,No Color
959,ANDERSON SEWAGE PLT,-85.7164,40.1117,0.001955051,No Color
815,ANGELICA,-78.0231,42.3108,0.003503661,No Color
1863,ANGLETON 2 W,-95.4592,29.1572,0.010767576,Darkest Yellow
358,ANGWIN PAC UNION COL,-122.4406,38.5731,0.005645993,Light Yellow
2030,ANIMAS 3ESE,-108.7689,31.9381,0.008061548,Dark Yellow
2482,ANKENY,-93.5742,41.7183,0.001650978,No Color
1177,ANN ARBOR U OF MICH,-83.7108,42.2947,0.002382053,No Color
2268,ANNA 2 NNE,-89.2344,37.4814,0.002360973,No Color
212,ANNETTE ISLAND AP,-131.5786,55.0389,0.003906309,Light Yellow
1973,ANNEX CREEK,-134.1003,58.3183,0.000614059,No Color
1888,ANNISTON METRO AP,-85.8556,33.5872,0.004467028,Light Yellow
1125,ANSON,-99.89,32.7667,-0.000919544,No Color
64,ANTELOPE 6 SSW,-120.7533,44.8197,-1.92E-06,No Color
2585,ANTHONY,-98.0283,37.155,0.000655384,No Color
275,ANTIOCH PUMPING PLANT #3,-121.7525,37.9833,0.009122885,Dark Yellow
1137,ANTLERS,-95.615,34.2208,0.003015354,No Color
1562,APALACHICOLA AIRPORT,-85.0206,29.7258,0.004418553,Light Yellow
1128,APPLETON,-88.4378,44.2769,0.002894567,No Color
2344,APPLETON CITY,-94.0281,38.1869,-0.000142518,No Color
2393,ARCO,-113.2989,43.6356,0.01007011,Darkest Yellow
2601,ARDMORE 1 NW,-103.66,43.03,0.006437338,Yellow
2345,ARKADELPHIA 2 N,-93.0589,34.1433,0.004641094,Light Yellow
223,ARROWROCK DAM,-115.9236,43.5936,0.007021194,Yellow
2040,ARTESIA 6S,-104.3836,32.7547,0.00618726,Yellow
885,ARTHUR,-101.6914,41.5697,0.004954389,Light Yellow
667,ARTICHOKE LAKE,-96.1542,45.3783,0.00263912,No Color
22,ASH MTN,-118.8253,36.4914,0.004678044,Light Yellow
2261,ASHBURN 3 ENE,NA,NA,0.006825096,Yellow
1587,ASHEBORO 2 W,-79.8378,35.7044,0.003184632,No Color
1940,ASHEVILLE,-82.5567,35.5953,0.003983496,Light Yellow
1962,ASHEVILLE RGNL AP,-82.5375,35.4319,0.005579519,Light Yellow
1305,ASHLAND,-77.4833,37.75,0.007559422,Yellow
2140,ASHLAND 3 ENE,-85.7789,33.2942,0.005441843,Light Yellow
1747,ASHLAND NO 2,-96.3811,41.0408,0.001781089,No Color
785,ASHLEY,-99.3742,46.0406,0.006712659,Yellow
1282,ASHTON 1N,-111.2739,44.0425,0.006088555,Yellow
730,ASTORIA RGNL AP,-123.8825,46.1569,0.003885945,Light Yellow
1964,ATHENS BEN EPPS AP,-83.3275,33.9481,0.005255589,Light Yellow
2484,ATKINSON 3SW,-99.0303,42.5136,0.004464019,Light Yellow
2029,ATLANTA HARTSFIELD INTL AP,-84.4417,33.63,0.009599618,Darkest Yellow
2451,ATLANTIC 1 NE,-95.0039,41.4175,0.002261431,No Color
2163,ATLANTIC CITY,-74.4242,39.3792,0.007938159,Yellow
2149,ATLANTIC CITY INTL AP,-74.5672,39.4494,0.007751708,Yellow
2709,ATMORE,-87.4389,31.1819,0.009031515,Dark Yellow
744,ATWOOD,-101.0422,39.7997,0.001196856,No Color
3,AUBERRY 2 NW,-119.5128,37.0919,0.005611612,Light Yellow
2359,AUBURN 5 ESE,-95.7469,40.3706,0.000145621,No Color
783,AUGUSTA,-112.3964,47.4931,0.004775951,Light Yellow
1897,AUGUSTA BUSH FLD AP,-81.9633,33.3644,0.005038048,Light Yellow
