,Station,Longitude,Latitude,Ref. value,Plot Color
1731,CANON CITY,-105.2256,38.46,-0.000208431,No Color
697,CANTON,-96.5917,43.3056,0.000193173,No Color
1021,CANTON 4 SE,-75.1097,44.5772,0.003091668,Darkest Red
1992,CANTON 4N,-90.0361,32.6714,-0.000549632,No Color
1664,CANTON L&D 20,-91.5158,40.1433,0.001278073,Light Red
303,CAPE HATTERAS AP,-75.6219,35.2325,0.00085711,No Color
2218,CAPE MAY 2 NW,-74.9358,38.9536,0.002991556,Darkest Red
2260,CARBONDALE SEWAGE PLT,-89.1658,37.7308,0.000519823,No Color
1028,CARIBOU MUNI AP,-68.0172,46.8706,0.001062551,Light Red
2472,CARLINVILLE,-89.8703,39.2883,0.002054373,Red
2084,CARLSBAD,-104.2225,32.3478,0.000891186,Light Red
1102,CARLSBAD CAVERN CITY AP,-104.2581,32.3336,0.000788154,No Color
2390,CARLSBAD CAVERNS,-104.4433,32.1783,0.000827723,No Color
423,CARMEL VALLEY,-121.7244,36.4806,0.000879018,Light Red
907,CARO WWTP,-83.3919,43.4839,0.001607012,Red
1051,CARRIZO SPRINGS 3S,-99.8733,28.4894,0.000293288,No Color
638,CARROLL,-94.85,42.065,0.000726748,No Color
1370,CARROLLTON,-93.4886,39.3594,0.000638105,No Color
106,CARSON CITY,-119.7678,39.1253,0.000445972,No Color
1875,CARTERSVILLE,-84.7925,34.2042,0.00374151,Darkest Red
2351,CARTHAGE,-94.3397,32.1614,1.13E-05,No Color
1059,CARVILLE 2 SW,-91.1256,30.1981,0.001290501,Light Red
46,CASA GRANDE NM,-111.5367,32.9947,0.000959216,Light Red
846,CASCADE 1 NW,-116.0481,44.5228,-0.000289615,No Color
831,CASCADE 20 SSE,NA,NA,0.000445738,No Color
1980,CASCADE 5 S,-111.71,47.2194,0.00092108,Light Red
1274,CASPER NATRONA CO AP,-106.4636,42.8975,0.000768107,No Color
723,CASS LAKE,-94.6147,47.3847,0.001606514,Red
968,CASTANA EXP FARM,-95.8364,42.0633,0.000440513,No Color
469,CASTLE DALE,-111.0125,39.2078,0.000152798,No Color
304,CASTLE HOT SPRINGS,-112.3617,33.9825,0.002381306,Red
653,CAVALIER 7NW,-97.7014,48.8628,0.000552848,No Color
2042,CAVE RUN LAKE,-83.5328,38.1228,0.001314553,Light Red
1531,CAVENDISH,-72.5989,43.3847,0.000916055,Light Red
